Station,Complex,Stop_ID,Division,Line,Stop_Name,Borough,Daytime_Routes,Structure,Latitude,Longitude,North_Label,South_Label,CBD
1 AV-L,119,L06,BMT,Canarsie,1 Av,M,L,Subway,40.730953,-73.981628,8 Av,Brooklyn,"Y"
103 ST-1,309,119,IRT,Broadway - 7Av,103 St,M,1,Subway,40.799446,-73.968379,Uptown & The Bronx,Downtown,"N"
103 ST-6,395,624,IRT,Lexington Av,103 St,M,6,Subway,40.7906,-73.947478,Uptown & The Bronx,Downtown,"N"
103 ST-BC,156,A18,IND,8th Av - Fulton St,103 St,M,B C,Subway,40.796092,-73.961454,Uptown & The Bronx,Downtown & Brooklyn,"N"
103 ST-CORONA-7,450,706,IRT,Flushing,103 St-Corona Plaza,Q,7,Elevated,40.749865,-73.8627,Flushing,Manhattan,"N"
104 ST-A,193,A63,IND,Liberty Av,104 St,Q,A,Elevated,40.681711,-73.837683,Manhattan,Lefferts Blvd,"N"
104 ST-JZ,82,J14,BMT,Jamaica,104 St,Q,J Z,Elevated,40.695178,-73.84433,Jamaica,Manhattan,"N"
110 ST-6,394,623,IRT,Lexington Av,110 St,M,6,Subway,40.79502,-73.94425,Uptown & The Bronx,Downtown,"N"
111 ST-7,449,705,IRT,Flushing,111 St,Q,7,Elevated,40.75173,-73.855334,Flushing,Manhattan,"N"
111 ST-A,194,A64,IND,Liberty Av,111 St,Q,A,Elevated,40.684331,-73.832163,Manhattan,Lefferts Blvd,"N"
111 ST-J,81,J13,BMT,Jamaica,111 St,Q,J,Elevated,40.697418,-73.836345,Jamaica,Manhattan,"N"
116 ST-23,440,226,IRT,Lenox - White Plains Rd,116 St,M,2 3,Subway,40.802098,-73.949625,Uptown & The Bronx,Downtown & Brooklyn,"N"
116 ST-6,393,622,IRT,Lexington Av,116 St,M,6,Subway,40.798629,-73.941617,Uptown & The Bronx,Downtown,"N"
116 ST-BC,154,A16,IND,8th Av - Fulton St,116 St,M,B C,Subway,40.805085,-73.954882,Uptown & The Bronx,Downtown & Brooklyn,"N"
